B1,B2,B3,B4,B5,B6,B7,FAPAR,LAI
0.062234,0.12674,0.034215,0.055169,0.13175,0.11902,0.10131,0.123948,1.0539
0.14162,0.29785,0.051359,0.10807,0.326,0.27009,0.17708,0.0835802,0.62727
0.13606,0.22992,0.05017,0.08732,0.30448,0.29842,0.20866,0.0534424,0.26556
0.015564,0.067999,0.0089389,0.018523,0.060374,0.041584,0.012796,0.0991859,0.62807
0.10123,0.22679,0.050019,0.079818,0.24609,0.22222,0.1522,0.206019,1.4722
0.18339,0.24651,0.08674,0.13743,0.3073,0.33263,0.26003,0.0252549,0.15365
0.11164,0.20734,0.041861,0.072487,0.26391,0.25017,0.1712,0.093137,0.47112
0.036319,0.081153,0.019948,0.032959,0.082339,0.071887,0.043749,0.151998,0.89406
0.030128,0.18148,0.015878,0.03265,0.16518,0.097078,0.035674,0.245608,1.7924
0.06396,0.11442,0.034488,0.054075,0.12415,0.12622,0.10627,0.0515548,0.3381
0.10205,0.18854,0.037768,0.072173,0.21874,0.2039,0.14466,0.112937,1.0407
0.05142,0.20044,0.028542,0.054377,0.19169,0.15096,0.082377,0.216337,1.0423
0.013226,0.024442,0.0057173,0.015501,0.01934,0.011986,0.0044629,0.0243199,0.1234
0.060058,0.10842,0.029964,0.052834,0.11916,0.11785,0.095508,0.0799205,0.7189
0.059228,0.12158,0.0318,0.051589,0.12711,0.12099,0.098719,0.11517,0.84254
0.014541,0.054828,0.0067849,0.020634,0.04477,0.025916,0.0071066,0.111188,0.98499
0.040236,0.12289,0.01915,0.04855,0.09268,0.062288,0.028945,0.154231,0.9219
0.10004,0.18537,0.05473,0.087105,0.20045,0.18858,0.16384,0.12518,0.72383
0.054104,0.09622,0.025834,0.047911,0.06514,0.052464,0.0226,0.0266189,0.16093
0.078556,0.12743,0.043699,0.062759,0.14576,0.13984,0.11573,0.0444928,0.42933
0.075424,0.11488,0.027486,0.048221,0.1596,0.16161,0.11512,0.00597806,0.049842
0.057358,0.14473,0.031448,0.051895,0.14762,0.13037,0.07828,0.155419,0.9183
0.017539,0.16458,0.011713,0.023692,0.13878,0.066184,0.01671,0.463166,3.7067
0.05488,0.14948,0.029656,0.050593,0.14747,0.12902,0.098814,0.125708,0.985
0.032231,0.064026,0.014448,0.031784,0.039844,0.030972,0.015863,0.0162745,0.12851
